run_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	library_strategy	read_count	base_count	fastq_ftp	submitted_ftp	submitted_format	sra_ftp	sample_alias	host	collection_date
SRR9224432	SAMN11950008	SRX5994974	SRR9224432	408170	human gut metagenome	WGS	9235676	1823244399	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/002/SRR9224432/SRR9224432_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/002/SRR9224432/SRR9224432_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/002/SRR9224432	ae-0001_MG	ae	2014-10-15
SRR9224402	SAMN11950009	SRX5995004	SRR9224402	408170	human gut metagenome	WGS	7636359	1517172452	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/002/SRR9224402/SRR9224402_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/002/SRR9224402/SRR9224402_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/002/SRR9224402	ae-0002_MG	ae	2014-10-16
SRR9224395	SAMN11950010	SRX5995011	SRR9224395	408170	human gut metagenome	WGS	7289875	1452518185	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/005/SRR9224395/SRR9224395_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/005/SRR9224395/SRR9224395_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/005/SRR9224395	ae-0003_MG	ae	2014-10-17
SRR9224396	SAMN11950011	SRX5995010	SRR9224396	408170	human gut metagenome	WGS	7953992	1583141936	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/006/SRR9224396/SRR9224396_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/006/SRR9224396/SRR9224396_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/006/SRR9224396	ae-0004_MG	ae	2014-10-19
SRR9224393	SAMN11950012	SRX5995013	SRR9224393	408170	human gut metagenome	WGS	10437238	2078168746	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/003/SRR9224393/SRR9224393_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/003/SRR9224393/SRR9224393_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/003/SRR9224393	ae-0005_MG	ae	2014-10-20
SRR9224394	SAMN11950013	SRX5995012	SRR9224394	408170	human gut metagenome	WGS	7434237	1481890995	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/004/SRR9224394/SRR9224394_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/004/SRR9224394/SRR9224394_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/004/SRR9224394	ae-0007_MG	ae	2014-10-22
SRR9224399	SAMN11950014	SRX5995007	SRR9224399	408170	human gut metagenome	WGS	10168227	2025394503	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/009/SRR9224399/SRR9224399_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/009/SRR9224399/SRR9224399_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/009/SRR9224399	ae-0008_MG	ae	2014-10-23
SRR9224400	SAMN11950015	SRX5995006	SRR9224400	408170	human gut metagenome	WGS	8239121	1635324642	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/000/SRR9224400/SRR9224400_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/000/SRR9224400/SRR9224400_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/000/SRR9224400	ae-0009_MG	ae	2014-10-27
SRR9224397	SAMN11950016	SRX5995009	SRR9224397	408170	human gut metagenome	WGS	6789454	1353100650	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/007/SRR9224397/SRR9224397_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/007/SRR9224397/SRR9224397_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/007/SRR9224397	ae-0010_MG	ae	2014-10-28
SRR9224398	SAMN11950017	SRX5995008	SRR9224398	408170	human gut metagenome	WGS	10264543	2046537120	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/008/SRR9224398/SRR9224398_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/008/SRR9224398/SRR9224398_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/008/SRR9224398	ae-0011_MG	ae	2014-10-30
SRR9224391	SAMN11950018	SRX5995015	SRR9224391	408170	human gut metagenome	WGS	7600396	1518534253	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/001/SRR9224391/SRR9224391_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/001/SRR9224391/SRR9224391_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/001/SRR9224391	ae-0012_MG	ae	2014-10-31
SRR9224392	SAMN11950019	SRX5995014	SRR9224392	408170	human gut metagenome	WGS	11463974	2248049610	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/002/SRR9224392/SRR9224392_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/002/SRR9224392/SRR9224392_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/002/SRR9224392	ae-0014_MG	ae	2014-11-03
SRR9224482	SAMN11950020	SRX5994924	SRR9224482	408170	human gut metagenome	WGS	7682445	1532498672	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/002/SRR9224482/SRR9224482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/002/SRR9224482/SRR9224482_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/002/SRR9224482	ae-0016_MG	ae	2014-11-05
SRR9224481	SAMN11950021	SRX5994925	SRR9224481	408170	human gut metagenome	WGS	8648784	1711124220	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/001/SRR9224481/SRR9224481_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/001/SRR9224481/SRR9224481_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/001/SRR9224481	ae-0018_MG	ae	2014-11-07
SRR9224480	SAMN11950022	SRX5994926	SRR9224480	408170	human gut metagenome	WGS	8569517	1702511262	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/000/SRR9224480/SRR9224480_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/000/SRR9224480/SRR9224480_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/000/SRR9224480	ae-0019_MG	ae	2014-11-08
SRR9224479	SAMN11950023	SRX5994927	SRR9224479	408170	human gut metagenome	WGS	14361698	2850671185	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/009/SRR9224479/SRR9224479_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/009/SRR9224479/SRR9224479_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/009/SRR9224479	ae-0020_MG	ae	2014-11-09
SRR9224486	SAMN11950024	SRX5994920	SRR9224486	408170	human gut metagenome	WGS	8625851	1714722199	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/006/SRR9224486/SRR9224486_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/006/SRR9224486/SRR9224486_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/006/SRR9224486	ae-0021_MG	ae	2014-11-12
SRR9224485	SAMN11950025	SRX5994921	SRR9224485	408170	human gut metagenome	WGS	13026992	2589510427	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/005/SRR9224485/SRR9224485_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/005/SRR9224485/SRR9224485_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/005/SRR9224485	ae-0022_MG	ae	2014-11-13
SRR9224484	SAMN11950026	SRX5994922	SRR9224484	408170	human gut metagenome	WGS	14160384	2807178210	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/004/SRR9224484/SRR9224484_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/004/SRR9224484/SRR9224484_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/004/SRR9224484	ae-0024_MG	ae	2014-11-15
SRR9224483	SAMN11950027	SRX5994923	SRR9224483	408170	human gut metagenome	WGS	10604127	2110834616	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/003/SRR9224483/SRR9224483_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/003/SRR9224483/SRR9224483_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/003/SRR9224483	ae-0025_MG	ae	2014-11-17
SRR9224489	SAMN11950028	SRX5994917	SRR9224489	408170	human gut metagenome	WGS	9403969	1862566373	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/009/SRR9224489/SRR9224489_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/009/SRR9224489/SRR9224489_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/009/SRR9224489	ae-0026_MG	ae	2014-11-18
SRR9224093c	SAMN11950030 SAMN11950029	SRX5994750	SRR9224093 SRR9224488	408170	human gut metagenome	WGS	16707513	3313158540	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/003/SRR9224093/SRR9224093_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/003/SRR9224093/SRR9224093_2.fastq.gz ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/008/SRR9224488/SRR9224488_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/008/SRR9224488/SRR9224488_2.fastq.gz	0.0	0.0	ftp.sra.ebi.ac.uk/vol1/srr/SRR922/003/SRR9224093 ftp.sra.ebi.ac.uk/vol1/srr/SRR922/008/SRR9224488	ae-0028_MG ae-0027_MG	ae	2014-11-19
SRR9224094	SAMN11950031	SRX5994749	SRR9224094	408170	human gut metagenome	WGS	10452133	2078600346	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/004/SRR9224094/SRR9224094_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/004/SRR9224094/SRR9224094_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/004/SRR9224094	ae-0029_MG	ae	2014-11-21
SRR9224095	SAMN11950032	SRX5994748	SRR9224095	408170	human gut metagenome	WGS	10013225	1990107229	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/005/SRR9224095/SRR9224095_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/005/SRR9224095/SRR9224095_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/005/SRR9224095	ae-0030_MG	ae	2014-11-25
SRR9224096	SAMN11950033	SRX5994747	SRR9224096	408170	human gut metagenome	WGS	6518269	1293771904	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/006/SRR9224096/SRR9224096_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/006/SRR9224096/SRR9224096_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/006/SRR9224096	ae-0031_MG	ae	2014-12-01
SRR9224089	SAMN11950034	SRX5994754	SRR9224089	408170	human gut metagenome	WGS	6511383	1292240613	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/009/SRR9224089/SRR9224089_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/009/SRR9224089/SRR9224089_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/009/SRR9224089	ae-0032_MG	ae	2014-12-02
SRR9224090	SAMN11950035	SRX5994753	SRR9224090	408170	human gut metagenome	WGS	7378998	1472989636	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/000/SRR9224090/SRR9224090_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/000/SRR9224090/SRR9224090_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/000/SRR9224090	ae-0033_MG	ae	2014-12-03
SRR9224091	SAMN11950036	SRX5994752	SRR9224091	408170	human gut metagenome	WGS	8714505	1731870299	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/001/SRR9224091/SRR9224091_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/001/SRR9224091/SRR9224091_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/001/SRR9224091	ae-0034_MG	ae	2014-12-04
