run_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	library_strategy	read_count	base_count	fastq_ftp	submitted_ftp	submitted_format	sra_ftp	sample_alias	host	collection_date
SRR9224092	SAMN11950037	SRX5994751	SRR9224092	408170	human gut metagenome	WGS	12489472	2257482407	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/002/SRR9224092/SRR9224092_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/002/SRR9224092/SRR9224092_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/002/SRR9224092	ae-0035_MG	ae	2014-12-05
SRR9224087	SAMN11950038	SRX5994756	SRR9224087	408170	human gut metagenome	WGS	5133459	955833027	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/007/SRR9224087/SRR9224087_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/007/SRR9224087/SRR9224087_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/007/SRR9224087	ae-0036_MG	ae	2014-12-08
SRR9224088	SAMN11950039	SRX5994755	SRR9224088	408170	human gut metagenome	WGS	4338031	783593852	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/008/SRR9224088/SRR9224088_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/008/SRR9224088/SRR9224088_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/008/SRR9224088	ae-0037_MG	ae	2014-12-09
SRR9224179	SAMN11950040	SRX5994664	SRR9224179	408170	human gut metagenome	WGS	5784953	1054994687	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/009/SRR9224179/SRR9224179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/009/SRR9224179/SRR9224179_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/009/SRR9224179	ae-0039_MG	ae	2014-12-12
SRR9224178	SAMN11950041	SRX5994665	SRR9224178	408170	human gut metagenome	WGS	3578540	654939022	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/008/SRR9224178/SRR9224178_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/008/SRR9224178/SRR9224178_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/008/SRR9224178	ae-0045_MG	ae	2015-01-22
SRR9224181	SAMN11950042	SRX5994662	SRR9224181	408170	human gut metagenome	WGS	302974	59326488	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/001/SRR9224181/SRR9224181_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/001/SRR9224181/SRR9224181_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/001/SRR9224181	ae-0046_MG	ae	2015-01-29
SRR9224180	SAMN11950043	SRX5994663	SRR9224180	408170	human gut metagenome	WGS	3201658	573016129	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/000/SRR9224180/SRR9224180_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/000/SRR9224180/SRR9224180_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/000/SRR9224180	ae-0047_MG	ae	2015-02-03
SRR9224175	SAMN11950044	SRX5994668	SRR9224175	408170	human gut metagenome	WGS	4901985	905117940	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/005/SRR9224175/SRR9224175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/005/SRR9224175/SRR9224175_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/005/SRR9224175	ae-0048_MG	ae	2015-02-04
SRR9224174	SAMN11950045	SRX5994669	SRR9224174	408170	human gut metagenome	WGS	5851074	1081402422	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/004/SRR9224174/SRR9224174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/004/SRR9224174/SRR9224174_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/004/SRR9224174	ae-0050_MG	ae	2015-02-11
SRR9224177	SAMN11950046	SRX5994666	SRR9224177	408170	human gut metagenome	WGS	5856927	1073311937	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/007/SRR9224177/SRR9224177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/007/SRR9224177/SRR9224177_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/007/SRR9224177	ae-0051_MG	ae	2015-02-13
SRR9224176	SAMN11950047	SRX5994667	SRR9224176	408170	human gut metagenome	WGS	9718408	1703833851	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/006/SRR9224176/SRR9224176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/006/SRR9224176/SRR9224176_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/006/SRR9224176	ae-0052_MG	ae	2015-02-17
SRR9224183	SAMN11950048	SRX5994660	SRR9224183	408170	human gut metagenome	WGS	9477557	1727469298	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/003/SRR9224183/SRR9224183_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/003/SRR9224183/SRR9224183_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/003/SRR9224183	ae-0053_MG	ae	2015-02-20
SRR9224182	SAMN11950049	SRX5994661	SRR9224182	408170	human gut metagenome	WGS	5195974	953319040	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/002/SRR9224182/SRR9224182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/002/SRR9224182/SRR9224182_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/002/SRR9224182	ae-0054_MG	ae	2015-02-26
SRR9224307	SAMN11950050	SRX5994536	SRR9224307	408170	human gut metagenome	WGS	6764845	1237265597	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/007/SRR9224307/SRR9224307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/007/SRR9224307/SRR9224307_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/007/SRR9224307	ae-0056_MG	ae	2015-03-09
SRR9224308	SAMN11950051	SRX5994535	SRR9224308	408170	human gut metagenome	WGS	6315321	1122682432	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/008/SRR9224308/SRR9224308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/008/SRR9224308/SRR9224308_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/008/SRR9224308	ae-0060_MG	ae	2015-03-14
SRR9224305	SAMN11950052	SRX5994538	SRR9224305	408170	human gut metagenome	WGS	6007029	1114291709	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/005/SRR9224305/SRR9224305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/005/SRR9224305/SRR9224305_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/005/SRR9224305	ae-0061_MG	ae	2015-03-23
SRR9224306	SAMN11950053	SRX5994537	SRR9224306	408170	human gut metagenome	WGS	5452980	993018384	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/006/SRR9224306/SRR9224306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/006/SRR9224306/SRR9224306_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/006/SRR9224306	ae-0062_MG	ae	2015-03-24
SRR9224303	SAMN11950054	SRX5994540	SRR9224303	408170	human gut metagenome	WGS	3493791	670228059	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/003/SRR9224303/SRR9224303_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/003/SRR9224303/SRR9224303_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/003/SRR9224303	ae-0063_MG	ae	2015-03-26
SRR9224304	SAMN11950055	SRX5994539	SRR9224304	408170	human gut metagenome	WGS	3219827	569034828	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/004/SRR9224304/SRR9224304_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/004/SRR9224304/SRR9224304_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/004/SRR9224304	ae-0064_MG	ae	2015-03-27
SRR9224301	SAMN11950056	SRX5994542	SRR9224301	408170	human gut metagenome	WGS	2522103	480571742	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/001/SRR9224301/SRR9224301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/001/SRR9224301/SRR9224301_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/001/SRR9224301	ae-0065_MG	ae	2015-03-31
SRR9224302	SAMN11950057	SRX5994541	SRR9224302	408170	human gut metagenome	WGS	4956059	883445025	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/002/SRR9224302/SRR9224302_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/002/SRR9224302/SRR9224302_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/002/SRR9224302	ae-0067_MG	ae	2015-04-14
SRR9224309	SAMN11950058	SRX5994534	SRR9224309	408170	human gut metagenome	WGS	5040419	952485445	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/009/SRR9224309/SRR9224309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/009/SRR9224309/SRR9224309_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/009/SRR9224309	ae-0068_MG	ae	2015-04-15
SRR9224310	SAMN11950059	SRX5994533	SRR9224310	408170	human gut metagenome	WGS	5768738	1020488128	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/000/SRR9224310/SRR9224310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/000/SRR9224310/SRR9224310_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/000/SRR9224310	ae-0069_MG	ae	2015-04-16
SRR9224420	SAMN11950060	SRX5994986	SRR9224420	408170	human gut metagenome	WGS	1699284	323488493	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/000/SRR9224420/SRR9224420_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/000/SRR9224420/SRR9224420_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/000/SRR9224420	ae-0070_MG	ae	2015-04-21
SRR9224419	SAMN11950061	SRX5994987	SRR9224419	408170	human gut metagenome	WGS	5836756	1059949362	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/009/SRR9224419/SRR9224419_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/009/SRR9224419/SRR9224419_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/009/SRR9224419	ae-0071_MG	ae	2015-04-22
SRR9224418	SAMN11950062	SRX5994988	SRR9224418	408170	human gut metagenome	WGS	8522040	1585629517	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/008/SRR9224418/SRR9224418_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/008/SRR9224418/SRR9224418_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/008/SRR9224418	ae-0072_MG	ae	2015-04-23
SRR9224417	SAMN11950063	SRX5994989	SRR9224417	408170	human gut metagenome	WGS	10354579	1821103856	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/007/SRR9224417/SRR9224417_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/007/SRR9224417/SRR9224417_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/007/SRR9224417	ae-0073_MG	ae	2015-04-28
SRR9224416	SAMN11950064	SRX5994990	SRR9224416	408170	human gut metagenome	WGS	5672602	1003373056	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/006/SRR9224416/SRR9224416_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/006/SRR9224416/SRR9224416_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/006/SRR9224416	ae-0074_MG	ae	2015-04-29
SRR9224415	SAMN11950065	SRX5994991	SRR9224415	408170	human gut metagenome	WGS	8388274	1469387361	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/005/SRR9224415/SRR9224415_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/005/SRR9224415/SRR9224415_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/005/SRR9224415	ae-0075_MG	ae	2015-05-01
SRR9224414	SAMN11950066	SRX5994992	SRR9224414	408170	human gut metagenome	WGS	3214510	602008375	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/004/SRR9224414/SRR9224414_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/004/SRR9224414/SRR9224414_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/004/SRR9224414	ae-0076_MG	ae	2015-05-04
SRR9224357	SAMN11950081	SRX5995049	SRR9224357	408170	human gut metagenome	WGS	5898753	1050519375	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/007/SRR9224357/SRR9224357_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/007/SRR9224357/SRR9224357_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/007/SRR9224357	am-0001_MG	am	2014-12-03
SRR9224359c	SAMN11950083 SAMN11950082	SRX5995047	SRR9224359 SRR9224360	408170	human gut metagenome	WGS	10259007	1817572455	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/009/SRR9224359/SRR9224359_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/009/SRR9224359/SRR9224359_2.fastq.gz ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/000/SRR9224360/SRR9224360_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/000/SRR9224360/SRR9224360_2.fastq.gz	0.0	0.0	ftp.sra.ebi.ac.uk/vol1/srr/SRR922/009/SRR9224359 ftp.sra.ebi.ac.uk/vol1/srr/SRR922/000/SRR9224360	am-0003_MG am-0002_MG	am	2014-12-04
SRR9224362	SAMN11950084	SRX5995044	SRR9224362	408170	human gut metagenome	WGS	4477227	794736441	ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/002/SRR9224362/SRR9224362_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/002/SRR9224362/SRR9224362_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR922/002/SRR9224362	am-0004_MG	am	2014-12-05
