sample	subject	timepoint
cERR2227660	bugkiller-mom	91
cERR2227659	bugkiller-mom	56
cERR2227658	bugkiller-mom	250
cERR2227651	bugkiller-mom	131
cERR2227650	bugkiller-mom	0
cERR2227653	bugkiller-mom	14
cERR2227654	bugkiller-mom	154
cERR2227657	bugkiller-mom	21
cERR2227656	bugkiller-mom	189
cERR2227553	alien3	0
cERR2227559	alien3	729
cERR2227557	alien3	724
cERR2227563	alien3	735
cERR2227562	alien3	734
cERR2227558	alien3	727
cERR2227560	alien3	732
cERR2227561	alien3	733
cERR2227537	alien2	0
cERR2227549	alien2	754
cERR2227548	alien2	743
cERR2227544	alien2	741
cERR2227541	alien2	725
cERR2227543	alien2	737
cERR2227542	alien2	726
cERR2227448	alien	1362
cERR2227449	alien	2
cERR2227444	alien	0
cERR2227509	alien	881
cERR2227501	alien	773
cERR2227505	alien	877
cERR2227463	alien	392
cERR2227525	alien	902
cERR2227521	alien	898
cERR2227483	alien	630
cERR2227529	alien	904
cERR2227487	alien	632
cERR2227479	alien	60
cERR2227475	alien	600
cERR2227459	alien	380
cERR2227457	alien	377
cERR2227453	alien	374
cERR2227517	alien	895
cERR2227513	alien	883
cERR2227533	alien	918
cERR2227491	alien	637
cERR2227495	alien	7
cERR2227808	orion	35
cERR2227809	orion	7
cERR2227805	orion	239
cERR2227806	orion	252
cERR2227807	orion	28
cERR2227800	orion	21
cERR2227801	orion	224
cERR2227790	orion	0
cERR2227791	orion	14
cERR2227792	orion	179
cERR2227796	orion	186
cERR2227826	orion-mom	14
cERR2227827	orion-mom	21
cERR2227832	orion-mom	7
cERR2227830	orion-mom	28
cERR2227831	orion-mom	35
cERR2227828	orion-mom	224
cERR2227829	orion-mom	252
cERR2227833	peacemaker	0
cERR2227836	peacemaker	2
cERR2227863	peacemaker	7
cERR2227860	peacemaker	60
cERR2227840	peacemaker	392
cERR2227874	peacemaker	918
cERR2227856	peacemaker	600
cERR2227870	peacemaker	773
cERR2227628	bugkiller	918
cERR2227579	bugkiller	1163
cERR2227569	bugkiller	0
cERR2227582	bugkiller	1167
cERR2227585	bugkiller	1181
cERR2227590	bugkiller	1338
cERR2227587	bugkiller	1279
cERR2227586	bugkiller	1216
cERR2227589	bugkiller	1314
cERR2227614	bugkiller	60
cERR2227573	bugkiller	1125
cERR2227574	bugkiller	1132
cERR2227575	bugkiller	1146
cERR2227576	bugkiller	1161
cERR2227601	bugkiller	392
cERR2227624	bugkiller	773
cERR2227618	bugkiller	7
cERR2227592	bugkiller	1375
cERR2227597	bugkiller	392
cERR2227593	bugkiller	2
cERR2227639	bugkiller-baby	250
cERR2227638	bugkiller-baby	213
cERR2227633	bugkiller-baby	14
cERR2227632	bugkiller-baby	0
cERR2227637	bugkiller-baby	21
cERR2227636	bugkiller-baby	189
cERR2227634	bugkiller-baby	154
cERR2227642	bugkiller-baby	7
cERR2227643	bugkiller-baby	91
cERR2227640	bugkiller-baby	370
cERR2227641	bugkiller-baby	56
