run_accession,subject,timepoint
SRR9224339,am,399
SRR9224053,am,404
SRR9224054,am,405
SRR9224214,am,406
SRR9224213,am,442
SRR9224212,am,444
SRR9224211,am,447
SRR9224210,am,448
SRR9224209,am,449
SRR9224208,am,451
SRR9224207,am,454
SRR9224217,am,456
SRR9224216,am,457
SRR9224271,am,458
SRR9224272,am,459
SRR9224269,am,460
SRR9224270,am,461
SRR9224267,am,462
SRR9224268,am,463
SRR9224265,am,465
SRR9224266,am,468
SRR9224389,am,470
SRR9224264,am,475
SRR9224445,am,476
SRR9224444,am,477
SRR9224447,am,478
SRR9224446,am,481
SRR9224441,am,482
SRR9224440,am,483
SRR9224220,am,484
SRR9224219,am,489
SRR9224218,am,491
SRR9224436,am,492
SRR9224497,am,493
SRR9224498,am,496
SRR9224499,am,497
SRR9224500,am,498
SRR9224493,am,499
SRR9224494,am,503
SRR9224495,am,506
SRR9224496,am,508
SRR9224501,am,509
SRR9224502,am,510
SRR9224102,am,512
SRR9224101,am,513
SRR9224100,am,516
SRR9224099c,am,517
SRR9224105,am,518
SRR9224104,am,519
SRR9224103,am,524
SRR9224108,am,525
SRR9224107,am,526
SRR9224261,am,531
SRR9224319,am,532
SRR9224198,am,533
SRR9224199,am,534
SRR9224204,am,537
SRR9224205,am,538
SRR9224202,am,539
SRR9224203,an,0
SRR9224313,an,3
SRR9224314,an,4
SRR9224321,an,11
SRR9224184,an,13
SRR9224323,an,14
SRR9224322,an,21
SRR9224325,an,40
SRR9224324,an,47
SRR9224327,an,49
SRR9224187,an,52
SRR9224318,an,54
SRR9224317,an,64
SRR9224139,an,69
SRR9224138,an,96
SRR9224137,an,98
SRR9224136,an,101
SRR9224143,an,159
SRR9224142,an,167
SRR9224141,an,195
SRR9224134c,an,196
SRR9224133,an,199
SRR9224566,an,200
SRR9224004,an,203
SRR9224005,an,213
SRR9224006,an,214
SRR9224562,an,223
SRR9224563,an,228
SRR9224564,an,229
SRR9224565,an,231
SRR9224560,an,239
SRR9224561,an,240
SRR9224453,an,243
SRR9224452c,an,245
SRR9224454,an,249
SRR9224449,an,250
SRR9224448,an,252
SRR9224451,an,257
SRR9224450,an,266
SRR9224457,an,268
SRR9224456,an,272
SRR9224279,an,274
SRR9224280,an,275
SRR9224277,an,277
SRR9224278,an,278
SRR9224275,an,279
SRR9224276,an,280
SRR9224273,an,298
SRR9224274,an,304
SRR9224282,an,331
SRR9224283,an,332
SRR9224242,an,333
SRR9224241,an,334
SRR9224240,an,335
SRR9224239,an,340
SRR9224238,an,360
SRR9224237,an,362
SRR9224236,an,371
SRR9224235,an,373
SRR9224234,an,374
SRR9224233,an,375
SRR9224065,ao,0
SRR9224066,ao,1
SRR9224067,ao,5
SRR9224068,ao,6
SRR9224069,ao,8
SRR9224070,ao,11
SRR9224071,ao,12
SRR9224072,ao,16
SRR9224073,ao,18
SRR9224074,ao,19
SRR9224020,ao,20
SRR9224019c,ao,21
SRR9224021,ao,23
SRR9224024,ao,25
SRR9224023,ao,34
SRR9224026,ao,35
SRR9224025,ao,36
SRR9224018,ao,37
SRR9224017,ao,39
SRR9224403c,ao,41
SRR9224404,ao,42
SRR9224172,ao,43
SRR9224135,ao,47
SRR9224462,ao,48
SRR9224408,ao,49
SRR9224401,ao,50
SRR9224311,ao,55
SRR9224294,ao,56
SRR9224293,ao,57
SRR9224292,ao,58
SRR9224291,ao,60
SRR9224298,ao,61
SRR9224297,ao,62
SRR9224296,ao,64
SRR9224295,ao,68
SRR9224300,ao,69
SRR9224299,ao,70
SRR9224163,ao,74
SRR9224164,ao,88
SRR9224165,ao,89
SRR9224166,ao,90
SRR9224159,ao,92
SRR9224160,ao,95
SRR9224161,ao,96
SRR9224162,ao,97
SRR9224168,ao,98
SRR9224169,ao,99
SRR9224113,ao,100
SRR9224114,ao,104
SRR9224487,ao,106
SRR9224116,ao,110
SRR9224109,ao,111
SRR9224110,ao,112
SRR9224111,ao,113
SRR9224112,ao,116
SRR9224118,ao,118
SRR9224119,ao,119
SRR9224252,ao,120
SRR9224251,ao,123
SRR9224250,ao,124
SRR9224249,ao,125
SRR9224256,ao,126
SRR9224255,ao,127
SRR9224288,ao,130
SRR9224253,ao,131
SRR9224258,ao,133
SRR9224257,ao,138
SRR9224472,ao,139
SRR9224473,ao,140
SRR9224470,ao,141
SRR9224471,ao,144
