run_accession,subject,timepoint
SRR9224432,ae,0
SRR9224402,ae,1
SRR9224395,ae,2
SRR9224396,ae,4
SRR9224393,ae,5
SRR9224394,ae,7
SRR9224399,ae,8
SRR9224400,ae,12
SRR9224397,ae,13
SRR9224398,ae,15
SRR9224391,ae,16
SRR9224392,ae,19
SRR9224482,ae,21
SRR9224481,ae,23
SRR9224480,ae,24
SRR9224479,ae,25
SRR9224486,ae,28
SRR9224485,ae,29
SRR9224484,ae,31
SRR9224483,ae,33
SRR9224489,ae,34
SRR9224093c,ae,35
SRR9224094,ae,37
SRR9224095,ae,41
SRR9224096,ae,47
SRR9224089,ae,48
SRR9224090,ae,49
SRR9224091,ae,50
SRR9224092,ae,51
SRR9224087,ae,54
SRR9224088,ae,55
SRR9224179,ae,58
SRR9224178,ae,99
SRR9224181,ae,106
SRR9224180,ae,111
SRR9224175,ae,112
SRR9224174,ae,119
SRR9224177,ae,121
SRR9224176,ae,125
SRR9224183,ae,128
SRR9224182,ae,134
SRR9224307,ae,145
SRR9224308,ae,150
SRR9224305,ae,159
SRR9224306,ae,160
SRR9224303,ae,162
SRR9224304,ae,163
SRR9224301,ae,167
SRR9224302,ae,181
SRR9224309,ae,182
SRR9224310,ae,183
SRR9224420,ae,188
SRR9224419,ae,189
SRR9224418,ae,190
SRR9224417,ae,195
SRR9224416,ae,196
SRR9224415,ae,198
SRR9224414,ae,201
SRR9224357,am,0
SRR9224359c,am,1
SRR9224362,am,2
SRR9224245,am,5
SRR9224364,am,6
SRR9224363c,am,7
SRR9224365,am,9
SRR9224525,am,10
SRR9224526,am,12
SRR9224523c,am,13
SRR9224529c,am,15
SRR9224527c,am,16
SRR9224243c,am,19
SRR9224329,am,20
SRR9224328,am,21
SRR9224122,am,26
SRR9224117,am,27
SRR9224156,am,33
SRR9224344,am,35
SRR9224171c,am,36
SRR9224316,am,37
SRR9224315,am,38
SRR9224541,am,40
SRR9224542,am,41
SRR9224539,am,50
SRR9224540,am,101
SRR9224491,am,104
SRR9224229c,am,105
SRR9224230,am,106
SRR9224223,am,107
SRR9224224,am,110
SRR9224086,am,111
SRR9224085,am,114
SRR9224084,am,133
SRR9224083,am,134
SRR9224082,am,139
SRR9224081,am,140
SRR9224287,am,142
SRR9224146,am,145
SRR9224078,am,147
SRR9224077,am,153
SRR9224422,am,154
SRR9224423,am,156
SRR9224424,am,168
SRR9224425,am,170
SRR9224426,am,174
SRR9224427,am,175
SRR9224428,am,177
SRR9224429,am,182
SRR9224430,am,183
SRR9224431,am,195
SRR9224254c,am,196
SRR9224290,am,198
SRR9224289,am,201
SRR9224281,am,203
SRR9224285c,am,204
SRR9224284,am,205
SRR9224260,am,208
SRR9224259,am,209
SRR9224115,am,210
SRR9224490,am,211
SRR9224478,am,215
SRR9224037,am,216
SRR9224476,am,218
SRR9224477,am,219
SRR9224474,am,226
SRR9224475,am,230
SRR9224120,am,238
SRR9224121,am,240
SRR9224534,am,247
SRR9224533,am,257
SRR9224532,am,258
SRR9224531,am,259
SRR9224538,am,260
SRR9224537,am,261
SRR9224536,am,266
SRR9224535,am,267
SRR9224098,am,268
SRR9224097,am,271
SRR9224369,am,273
SRR9224370,am,274
SRR9224371,am,275
SRR9224372,am,276
SRR9224247,am,281
SRR9224248,am,283
SRR9224367,am,285
SRR9224368,am,293
SRR9224361,am,294
SRR9224246,am,295
SRR9224504,am,299
SRR9224503,am,303
SRR9224506,am,305
SRR9224505,am,307
SRR9224508,am,308
SRR9224507,am,309
SRR9224510,am,310
SRR9224509,am,313
SRR9224512,am,317
SRR9224511,am,321
SRR9224332,am,322
SRR9224333,am,324
SRR9224330,am,326
SRR9224331,am,329
SRR9224340,am,330
SRR9224341,am,333
SRR9224334,am,334
SRR9224335,am,335
SRR9224342,am,337
SRR9224343,am,345
SRR9224347c,am,346
SRR9224345,am,347
SRR9224346,am,349
SRR9224351,am,350
SRR9224352,am,353
SRR9224349,am,356
SRR9224350,am,364
SRR9224354,am,366
SRR9224355,am,367
SRR9224514,am,369
SRR9224513c,am,370
SRR9224515,am,372
SRR9224518,am,373
SRR9224517,am,374
SRR9224520,am,375
SRR9224519,am,377
SRR9224522,am,378
SRR9224521,am,380
SRR9224061,am,383
SRR9224062,am,384
SRR9224063,am,391
SRR9224064,am,392
SRR9224336,am,393
SRR9224337,am,397
SRR9224338,am,398
