sample,subject,timepoint
SRR5947807,M2025,98.0
SRR5947808,C3003,77.0
SRR5947809,M2014,70.0
SRR5947810,H4008,28.0
SRR5947811,M2027,77.0
SRR5947812,M2014,28.0
SRR5947813,M2021,0.0
SRR5947814,E5001,0.0
SRR5947815,M2008,98.0
SRR5947816,M2021,28.0
SRR5947817,E5001,14.0
SRR5947818,H4001,35.0
SRR5947819,M2026,0.0
SRR5947820,M2039,0.0
SRR5947821,M2025,0.0
SRR5947822,H4009,21.0
SRR5947823,C3003,21.0
SRR5947824,M2026,42.0
SRR5947825,M2025,21.0
SRR5947826,C3001,56.0
SRR5947827,M2014,112.0
SRR5947828,E5002,49.0
SRR5947829,M2025,42.0
SRR5947830,H4004,14.0
SRR5947831,E5002,14.0
SRR5947832,C3002,0.0
SRR5947833,M2021,42.0
SRR5947834,M2024,0.0
SRR5947835,E5001,42.0
SRR5947836,M2027,0.0
SRR5947837,M2026,14.0
SRR5947838,M2028,0.0
SRR5947839,H4001,105.0
SRR5947840,M2014,140.0
SRR5947841,M2027,56.0
SRR5947842,H4006,28.0
SRR5947843,E5008,14.0
SRR5947844,E5001,98.0
SRR5947845,H4009,7.0
SRR5947846,H4010,0.0
SRR5947847,H4006,42.0
SRR5947848,C3005,49.0
SRR5947849,C3003,49.0
SRR5947850,H4009,0.0
SRR5947851,C3008,0.0
SRR5947852,C3001,126.0
SRR5947853,H4001,119.0
SRR5947854,C3002,84.0
SRR5947855,M2027,28.0
SRR5947856,E5001,105.0
SRR5947857,C3005,7.0
SRR5947858,M2008,154.0
SRR5947859,E5006,0.0
SRR5947860,E5004,7.0
SRR5947861,M2026,28.0
SRR5947862,M2027,14.0
SRR5947863,H4001,70.0
SRR5947864,E5002,35.0
SRR5947865,M2014,98.0
SRR5947866,C3005,63.0
SRR5947867,C3004,70.0
SRR5947868,M2021,70.0
SRR5947869,C3006,0.0
SRR5947870,E5001,84.0
SRR5947871,E5002,63.0
SRR5947872,H4008,0.0
SRR5947873,M2025,56.0
SRR5947874,E5006,21.0
SRR5947875,C3007,0.0
SRR5947876,C3001,112.0
SRR5947877,M2008,189.0
SRR5947878,C3004,28.0
SRR5947879,H4008,14.0
SRR5947880,C3006,42.0
SRR5947881,M2026,84.0
SRR5947882,C3004,56.0
SRR5947883,C3002,70.0
SRR5947884,C3006,7.0
SRR5947895,H4009,7.0
SRR5947896,H4010,0.0
SRR5947897,E5008,14.0
SRR5947898,E5001,98.0
SRR5947899,M2025,21.0
SRR5947900,C3001,56.0
SRR5947901,H4001,105.0
SRR5947902,M2014,140.0
SRR5947903,M2026,14.0
SRR5947904,M2028,0.0
SRR5947905,E5001,42.0
SRR5947906,M2027,0.0
SRR5947907,M2021,42.0
SRR5947908,M2024,0.0
SRR5947909,E5002,14.0
SRR5947910,C3002,0.0
SRR5947911,M2025,42.0
SRR5947912,H4004,14.0
SRR5947913,M2014,112.0
SRR5947914,E5002,49.0
SRR5947915,M2027,28.0
SRR5947916,C3005,7.0
SRR5947917,C3003,21.0
SRR5947918,M2026,42.0
SRR5947919,H4008,28.0
SRR5947920,M2027,56.0
SRR5947921,C3004,28.0
SRR5947922,C3006,7.0
SRR5947923,C3005,49.0
SRR5947924,H4006,28.0
SRR5947925,M2025,56.0
SRR5947926,C3005,63.0
SRR5947927,E5001,84.0
SRR5947928,C3003,77.0
SRR5947929,E5002,63.0
SRR5947930,H4009,21.0
SRR5947931,M2027,77.0
SRR5947932,H4009,0.0
SRR5947933,C3008,0.0
SRR5947934,C3001,112.0
SRR5947935,M2008,189.0
SRR5947936,E5006,21.0
SRR5947937,C3007,0.0
SRR5947938,C3006,42.0
SRR5947939,M2026,84.0
SRR5947940,C3003,49.0
SRR5947941,H4008,14.0
SRR5947942,C3004,56.0
SRR5947943,C3002,70.0
SRR5947944,C3002,84.0
SRR5947945,C3001,126.0
SRR5947946,E5004,7.0
SRR5947947,M2026,28.0
SRR5947948,M2008,154.0
SRR5947949,E5006,0.0
SRR5947950,E5002,35.0
SRR5947951,M2014,98.0
SRR5947952,M2027,14.0
SRR5947953,H4001,70.0
SRR5947954,M2021,70.0
SRR5947955,C3006,0.0
SRR5947956,E5001,105.0
SRR5947957,H4006,42.0
SRR5947958,H4008,0.0
SRR5947959,H4001,119.0
SRR5947960,C3004,70.0
SRR5947961,M2025,98.0
SRR5947962,M2039,0.0
SRR5947963,H4001,35.0
