sample,subject,timepoint
SRR5947964,M2026,0.0
SRR5947965,M2021,28.0
SRR5947966,E5001,14.0
SRR5947967,E5001,0.0
SRR5947968,M2008,98.0
SRR5947969,M2014,28.0
SRR5947970,M2021,0.0
SRR5947971,M2014,70.0
SRR5947972,M2025,0.0
SRR5983264,C3037,14.0
SRR5983265,M2075,35.0
SRR5983266,C3017,322.0
SRR5983267,M2077,0.0
SRR5983268,M2091,0.0
SRR5983269,P6009,322.0
SRR5983270,H4044,14.0
SRR5983271,P6033,105.0
SRR5983272,E5013,0.0
SRR5983273,H4018,0.0
SRR5983274,H4009,63.0
SRR5983275,C3013,0.0
SRR5983276,M2042,0.0
SRR5983277,E5009,28.0
SRR5983278,C3008,49.0
SRR5983279,C3012,0.0
SRR5983280,H4013,0.0
SRR5983281,H4010,28.0
SRR5983282,M2081,49.0
SRR5983283,C3033,56.0
SRR5983284,H4040,0.0
SRR5983285,C3011,308.0
SRR5983286,C3017,266.0
SRR5983287,P6009,231.0
SRR5983288,P6009,273.0
SRR5983289,C3034,0.0
SRR5983290,,
SRR5983291,H4042,0.0
SRR5983292,M2085,0.0
SRR5983293,C3017,294.0
SRR5983294,C3036,0.0
SRR5983295,C3011,238.0
SRR5983296,P6028,0.0
SRR5983297,M2071,0.0
SRR5983298,C3017,210.0
SRR5983299,M2067,84.0
SRR5983300,C3032,84.0
SRR5983301,M2079,0.0
SRR5983302,C3013,287.0
SRR5983303,E5004,63.0
SRR5983304,H4011,0.0
SRR5983305,,
SRR5983306,C3001,84.0
SRR5983307,M2008,175.0
SRR5983308,C3007,0.0
SRR5983309,M2021,84.0
SRR5983310,M2028,42.0
SRR5983311,M2010,133.0
SRR5983312,E5004,35.0
SRR5983313,C3002,42.0
SRR5983314,E5023,7.0
SRR5983315,M2072,42.0
SRR5983316,C3011,217.0
SRR5983317,H4032,28.0
SRR5983318,P6025,56.0
SRR5983319,P6009,175.0
SRR5983320,C3013,252.0
SRR5983321,P6024,42.0
SRR5983322,,
SRR5983323,C3011,273.0
SRR5983324,C3017,238.0
SRR5983325,H4031,0.0
SRR5983326,E5022,7.0
SRR5983327,M2069,14.0
SRR5983328,P6009,147.0
SRR5983329,P6017,0.0
SRR5983330,P6009,91.0
SRR5983331,H4030,0.0
SRR5983332,C3017,154.0
SRR5983333,C3017,14.0
SRR5983334,C3017,182.0
SRR5983335,H4028,56.0
SRR5983336,,
SRR5983337,C3004,42.0
SRR5983338,C3005,28.0
SRR5983339,H4001,91.0
SRR5983340,H4004,28.0
SRR5983341,M2010,154.0
SRR5983342,E5008,7.0
SRR5983343,C3001,98.0
SRR5983344,C3002,56.0
SRR5983345,H4016,35.0
SRR5983346,H4007,0.0
SRR5983347,M2014,126.0
SRR5983348,H4008,294.0
SRR5983349,P6018,14.0
SRR5983350,H4009,287.0
SRR5983351,C3013,224.0
SRR5983352,H4009,259.0
SRR5983353,C3013,182.0
SRR5983354,P6014,63.0
SRR5983355,H4035,0.0
SRR5983356,H4008,280.0
SRR5983357,M2068,0.0
SRR5983358,,
SRR5983359,H4008,126.0
SRR5983360,C3023,14.0
SRR5983361,C3013,84.0
SRR5983362,P6009,7.0
SRR5983363,H4009,203.0
SRR5983364,C3013,140.0
SRR5983365,C3031,0.0
SRR5983366,H4009,231.0
SRR5983367,C3030,0.0
SRR5983368,C3013,154.0
SRR5983369,C3017,126.0
SRR5983370,,
SRR5983371,,
SRR5983372,H4023,0.0
SRR5983373,,
SRR5983374,C3013,70.0
SRR5983375,,
SRR5983376,M2060,14.0
SRR5983377,C3024,0.0
SRR5983378,C3017,84.0
SRR5983379,C3022,14.0
SRR5983380,M2047,14.0
SRR5983381,C3017,98.0
SRR5983382,M2059,0.0
SRR5983383,C3013,119.0
SRR5983384,P6010,0.0
SRR5983385,C3011,84.0
SRR5983386,C3019,14.0
SRR5983387,M2008,147.0
SRR5983388,C3002,14.0
SRR5983389,H4001,49.0
SRR5983390,E5002,28.0
SRR5983391,C3003,14.0
SRR5983392,C3002,28.0
SRR5983393,C3004,0.0
SRR5983394,M2028,14.0
SRR5983395,E5004,21.0
SRR5983396,H4001,77.0
SRR5983397,C3011,189.0
SRR5983398,P6009,105.0
SRR5983399,C3017,112.0
SRR5983400,H4027,14.0
SRR5983401,P6009,77.0
SRR5983402,H4008,224.0
SRR5983403,M2064,0.0
SRR5983404,H4008,252.0
SRR5983405,P6016,0.0
SRR5983406,C3029,21.0
SRR5983407,C3010,49.0
SRR5983408,H4016,14.0
SRR5983409,C3001,14.0
SRR5983410,,
SRR5983411,M2010,42.0
SRR5983412,C3001,0.0
SRR5983413,E5001,28.0
SRR5983414,C3001,42.0
SRR5983415,C3001,28.0
SRR5983416,M2008,126.0
SRR5983417,M2014,84.0
SRR5983418,E5003,7.0
SRR5983419,M2014,56.0
SRR5983420,H4009,105.0
SRR5983421,H4008,112.0
SRR5983422,C3016,0.0
SRR5983423,H4019,0.0
SRR5983424,H4009,91.0
SRR5983425,H4008,98.0
SRR5983426,C3013,126.0
SRR5983427,E5019,0.0
SRR5983428,M2058,0.0
SRR5983429,C3022,42.0
SRR5983430,H4008,196.0
SRR5983431,P6013,0.0
SRR5983432,H4016,56.0
SRR5983433,H4008,140.0
SRR5983434,P6005,0.0
SRR5983435,H4009,119.0
SRR5983436,H4020,14.0
SRR5983437,C3011,56.0
SRR5983438,H4022,0.0
SRR5983439,C3017,28.0
SRR5983440,C3011,42.0
SRR5983441,C3017,0.0
SRR5983442,C3013,56.0
SRR5983443,C3011,70.0
SRR5983444,C3010,35.0
SRR5983445,C3011,7.0
SRR5983446,C3015,0.0
SRR5983447,C3011,21.0
SRR5983448,C3011,0.0
SRR5983449,H4013,14.0
SRR5983450,M2086,56.0
SRR5983451,H4008,70.0
SRR5983452,,
SRR5983453,,
SRR5983454,,
SRR5983455,,
SRR5983456,,
SRR5983457,,
SRR5983458,,
SRR5983459,C3020,0.0
SRR5983460,,
SRR5983461,,
SRR5983462,H4012,0.0
SRR5983463,M2014,154.0
SRR5983464,M2008,217.0
SRR5983465,H4010,14.0
SRR5983466,E5008,28.0
SRR5983467,C3007,35.0
SRR5983468,H4007,42.0
SRR5983469,C3010,0.0
SRR5983470,H4014,0.0
SRR5983471,C3008,28.0
SRR5983472,C3009,28.0
SRR5983473,H4009,49.0
SRR5983474,M2082,0.0
SRR5983475,H4038,140.0
SRR5983476,H4045,7.0
SRR5983477,H4006,56.0
SRR5983478,H4009,35.0
SRR5983479,M2034,35.0
SRR5983480,H4015,0.0
SRR5983481,M2041,0.0
SRR5983482,,
SRR5983483,,
SRR5983484,H4016,0.0
SRR5983485,,
