sample_accession	experiment_accession	run_accession	sample_alias
SAMN11846530	SRX5976846	SRR9205639	am_0171_0057_a10
SAMN11846537	SRX5976845	SRR9205640	am_0171_0057_b11
SAMN11846536	SRX5976844	SRR9205641	am_0171_0057_b10
SAMN11846535	SRX5976843	SRR9205642	am_0171_0057_a9
SAMN11846534	SRX5976842	SRR9205643	am_0171_0057_a8
SAMN11846658	SRX5976841	SRR9205644	am_0003_0093_e12
SAMN11846659	SRX5976840	SRR9205645	am_0003_0093_g6
SAMN11846922	SRX5976839	SRR9205646	af_0058_0066_g1
SAMN11846510	SRX5976838	SRR9205647	af_0058_0056_b10
SAMN11846963	SRX5976837	SRR9205648	af_0058_0077_a4
SAMN11846960	SRX5976836	SRR9205649	af_0058_0071_h5
SAMN11846961	SRX5976835	SRR9205650	af_0058_0071_h6
SAMN11846966	SRX5976834	SRR9205651	af_0058_0077_b3
SAMN11846967	SRX5976833	SRR9205652	af_0058_0077_b4
SAMN11846511	SRX5976832	SRR9205653	af_0058_0056_b12
SAMN11846965	SRX5976831	SRR9205654	af_0058_0077_a6
SAMN11846968	SRX5976830	SRR9205655	af_0058_0077_b5
SAMN11846969	SRX5976829	SRR9205656	af_0058_0077_b6
SAMN11846800	SRX5976828	SRR9205657	cx_0004_0086_g6
SAMN11846397	SRX5976827	SRR9205658	am_0014_0091_h11
SAMN11846396	SRX5976826	SRR9205659	am_0014_0091_g8
SAMN11846395	SRX5976825	SRR9205660	am_0014_0091_g7
SAMN11846394	SRX5976824	SRR9205661	am_0014_0091_g6
SAMN11846393	SRX5976823	SRR9205662	am_0014_0091_g5
SAMN11846392	SRX5976822	SRR9205663	am_0014_0091_g4
SAMN11846391	SRX5976821	SRR9205664	am_0014_0091_g3
SAMN11846390	SRX5976820	SRR9205665	am_0014_0091_g2
SAMN11846476	SRX5976819	SRR9205666	bq_0049_0072_f3
SAMN11846477	SRX5976818	SRR9205667	bq_0049_0072_g2
SAMN11846308	SRX5976817	SRR9205668	am_0006_0094_e3
SAMN11846475	SRX5976816	SRR9205669	bq_0049_0072_f2
SAMN11846472	SRX5976815	SRR9205670	bq_0049_0072_e1
SAMN11846473	SRX5976814	SRR9205671	bq_0049_0072_e2
SAMN11846399	SRX5976813	SRR9205672	am_0014_0091_h3
SAMN11846398	SRX5976812	SRR9205673	am_0014_0091_h2
SAMN11846650	SRX5976811	SRR9205674	af_0058_0083_f3
SAMN11846651	SRX5976810	SRR9205675	af_0058_0083_g5
SAMN11846982	SRX5976809	SRR9205676	af_0058_0077_f4
SAMN11846838	SRX5976808	SRR9205677	bk_0021_0037_g7
SAMN11846839	SRX5976807	SRR9205678	bq_0049_0032_c5
SAMN11846836	SRX5976806	SRR9205679	bk_0021_0021_d1
SAMN11846837	SRX5976805	SRR9205680	bk_0021_0037_f7
SAMN11846834	SRX5976804	SRR9205681	bk_0021_0020_f3
SAMN11846835	SRX5976803	SRR9205682	bk_0021_0021_a8
SAMN11846832	SRX5976802	SRR9205683	bk_0021_0020_a3
SAMN11846833	SRX5976801	SRR9205684	bk_0021_0020_d1
SAMN11846830	SRX5976800	SRR9205685	am_0171_0066_a11
SAMN11846831	SRX5976799	SRR9205686	am_0171_0066_b12
SAMN11846228	SRX5976798	SRR9205687	am_0003_0093_c7
SAMN11846229	SRX5976797	SRR9205688	am_0003_0093_d10
SAMN11846220	SRX5976796	SRR9205689	am_0003_0093_b7
SAMN11846221	SRX5976795	SRR9205690	am_0003_0093_b8
SAMN11846222	SRX5976794	SRR9205691	am_0003_0093_b9
SAMN11846223	SRX5976793	SRR9205692	am_0003_0093_c10
SAMN11846224	SRX5976792	SRR9205693	am_0003_0093_c1
SAMN11846225	SRX5976791	SRR9205694	am_0003_0093_c2
SAMN11846226	SRX5976790	SRR9205695	am_0003_0093_c4
SAMN11846227	SRX5976789	SRR9205696	am_0003_0093_c5
SAMN11846243	SRX5976788	SRR9205697	am_0003_0093_e6
SAMN11846242	SRX5976787	SRR9205698	am_0003_0093_e5
SAMN11846241	SRX5976786	SRR9205699	am_0003_0093_e4
SAMN11846240	SRX5976785	SRR9205700	am_0003_0093_e2
SAMN11846247	SRX5976784	SRR9205701	am_0003_0093_f12
SAMN11846246	SRX5976783	SRR9205702	am_0003_0093_e9
SAMN11846245	SRX5976782	SRR9205703	am_0003_0093_e8
SAMN11846244	SRX5976781	SRR9205704	am_0003_0093_e7
SAMN11846249	SRX5976780	SRR9205705	am_0003_0093_f4
SAMN11846248	SRX5976779	SRR9205706	am_0003_0093_f1
SAMN11846849	SRX5976778	SRR9205707	am_0171_0078_a6
SAMN11846848	SRX5976777	SRR9205708	am_0171_0078_a2
SAMN11846748	SRX5976776	SRR9205709	am_0224_0086_h1
SAMN11846749	SRX5976775	SRR9205710	an_0080_0058_c10
SAMN11846450	SRX5976774	SRR9205711	aa_0143_0037_d1
SAMN11846742	SRX5976773	SRR9205712	am_0171_0088_g8
SAMN11846743	SRX5976772	SRR9205713	am_0224_0086_c2
SAMN11846451	SRX5976771	SRR9205714	aa_0143_0037_f1
SAMN11846741	SRX5976770	SRR9205715	am_0171_0078_h5
SAMN11846746	SRX5976769	SRR9205716	am_0224_0086_g3
SAMN11846747	SRX5976768	SRR9205717	am_0224_0086_g5
SAMN11846744	SRX5976767	SRR9205718	am_0224_0086_e1
SAMN11846745	SRX5976766	SRR9205719	am_0224_0086_e4
SAMN11846740	SRX5976765	SRR9205720	am_0171_0078_g1
SAMN11846924	SRX5976764	SRR9205721	af_0058_0066_g4
SAMN11846927	SRX5976763	SRR9205722	af_0058_0066_h5
SAMN11846926	SRX5976762	SRR9205723	af_0058_0066_h3
SAMN11846921	SRX5976761	SRR9205724	af_0058_0066_f4
SAMN11846920	SRX5976760	SRR9205725	af_0058_0066_f3
SAMN11846139	SRX5976759	SRR9205726	aa_0143_0065_g7
SAMN11846138	SRX5976758	SRR9205727	aa_0143_0065_f5
SAMN11846137	SRX5976757	SRR9205728	aa_0143_0065_e9
SAMN11846136	SRX5976756	SRR9205729	aa_0143_0065_e5
SAMN11846135	SRX5976755	SRR9205730	aa_0143_0065_d7
SAMN11846134	SRX5976754	SRR9205731	aa_0143_0065_d5
SAMN11846133	SRX5976753	SRR9205732	aa_0143_0065_c6
SAMN11846132	SRX5976752	SRR9205733	aa_0143_0065_b9
SAMN11846131	SRX5976751	SRR9205734	aa_0143_0065_b6
SAMN11846130	SRX5976750	SRR9205735	aa_0143_0065_b5
SAMN11846925	SRX5976749	SRR9205736	af_0058_0066_g5
SAMN11846579	SRX5976748	SRR9205737	am_0171_0068_e3
SAMN11846578	SRX5976747	SRR9205738	am_0171_0068_e2
SAMN11846577	SRX5976746	SRR9205739	am_0171_0068_c2
SAMN11846576	SRX5976745	SRR9205740	am_0171_0068_c1
SAMN11846575	SRX5976744	SRR9205741	am_0171_0068_b4
SAMN11846574	SRX5976743	SRR9205742	am_0171_0068_b3
SAMN11846573	SRX5976742	SRR9205743	am_0171_0068_a3
SAMN11846572	SRX5976741	SRR9205744	am_0171_0068_a2
SAMN11846571	SRX5976740	SRR9205745	am_0171_0057_h9
SAMN11846570	SRX5976739	SRR9205746	am_0171_0057_h8
SAMN11846696	SRX5976738	SRR9205747	am_0070_0085_c11
SAMN11846697	SRX5976737	SRR9205748	am_0070_0085_c8
SAMN11846694	SRX5976736	SRR9205749	am_0070_0084_d5
SAMN11846695	SRX5976735	SRR9205750	am_0070_0085_b11
SAMN11846692	SRX5976734	SRR9205751	am_0052_0084_g1
SAMN11846693	SRX5976733	SRR9205752	am_0052_0084_h1
SAMN11846690	SRX5976732	SRR9205753	am_0052_0075_c6
SAMN11846691	SRX5976731	SRR9205754	am_0052_0084_a1
SAMN11846923	SRX5976730	SRR9205755	af_0058_0066_g2
SAMN11846698	SRX5976729	SRR9205756	am_0070_0085_d10
SAMN11846699	SRX5976728	SRR9205757	am_0070_0085_d6
SAMN11846108	SRX5976727	SRR9205758	aa_0143_0061_e3-BIS
SAMN11846109	SRX5976726	SRR9205759	aa_0143_0061_e3
SAMN11846102	SRX5976725	SRR9205760	aa_0143_0061_d2
SAMN11846103	SRX5976724	SRR9205761	aa_0143_0061_d3-BIS
SAMN11846100	SRX5976723	SRR9205762	aa_0143_0061_d1
SAMN11846101	SRX5976722	SRR9205763	aa_0143_0061_d2-BIS
SAMN11846106	SRX5976721	SRR9205764	aa_0143_0061_e1
SAMN11846107	SRX5976720	SRR9205765	aa_0143_0061_e2-BIS
SAMN11846104	SRX5976719	SRR9205766	aa_0143_0061_d3
SAMN11846105	SRX5976718	SRR9205767	aa_0143_0061_e1-BIS
SAMN11846929	SRX5976717	SRR9205768	af_0058_0071_a4
SAMN11846432	SRX5976716	SRR9205769	aa_0143_0065_d6
SAMN11846433	SRX5976715	SRR9205770	aa_0143_0087_c5
SAMN11846430	SRX5976714	SRR9205771	aa_0143_0065_c5
SAMN11846431	SRX5976713	SRR9205772	aa_0143_0065_c8
SAMN11846436	SRX5976712	SRR9205773	af_0058_0067_a5
SAMN11846437	SRX5976711	SRR9205774	af_0058_0067_a6
SAMN11846434	SRX5976710	SRR9205775	aa_0143_0087_e10
SAMN11846435	SRX5976709	SRR9205776	af_0058_0056_f11
SAMN11846438	SRX5976708	SRR9205777	af_0058_0067_d1
SAMN11846439	SRX5976707	SRR9205778	bj_0095_0019_a8
SAMN11846978	SRX5976706	SRR9205779	af_0058_0077_e3
SAMN11847009	SRX5976705	SRR9205780	af_0058_0083_f4
SAMN11846872	SRX5976704	SRR9205781	af_0058_0056_c3
SAMN11846873	SRX5976703	SRR9205782	af_0058_0056_c6
SAMN11846870	SRX5976702	SRR9205783	af_0058_0056_b6
SAMN11846871	SRX5976701	SRR9205784	af_0058_0056_c1
SAMN11846876	SRX5976700	SRR9205785	af_0058_0056_e1
SAMN11846877	SRX5976699	SRR9205786	af_0058_0056_e3
SAMN11846874	SRX5976698	SRR9205787	af_0058_0056_d1
SAMN11846875	SRX5976697	SRR9205788	af_0058_0056_d3
SAMN11846995	SRX5976696	SRR9205789	af_0058_0083_b4
SAMN11846994	SRX5976695	SRR9205790	af_0058_0083_b3
SAMN11846878	SRX5976694	SRR9205791	af_0058_0056_e4
SAMN11846879	SRX5976693	SRR9205792	af_0058_0056_e5
SAMN11846991	SRX5976692	SRR9205793	af_0058_0077_h5
SAMN11846990	SRX5976691	SRR9205794	af_0058_0077_h4
SAMN11846993	SRX5976690	SRR9205795	af_0058_0083_b1
SAMN11846992	SRX5976689	SRR9205796	af_0058_0077_h6
SAMN11846287	SRX5976688	SRR9205797	am_0006_0094_c2
SAMN11846286	SRX5976687	SRR9205798	am_0006_0094_c1
SAMN11846285	SRX5976686	SRR9205799	am_0006_0094_c12
SAMN11846284	SRX5976685	SRR9205800	am_0006_0094_c11
SAMN11846283	SRX5976684	SRR9205801	am_0006_0094_c10
SAMN11846282	SRX5976683	SRR9205802	am_0006_0094_b9
SAMN11846348	SRX5976682	SRR9205803	am_0014_0091_b6
SAMN11846349	SRX5976681	SRR9205804	am_0014_0091_b7
SAMN11846346	SRX5976680	SRR9205805	am_0014_0091_b4
SAMN11846347	SRX5976679	SRR9205806	am_0014_0091_b5
SAMN11846344	SRX5976678	SRR9205807	am_0014_0091_b2
SAMN11846345	SRX5976677	SRR9205808	am_0014_0091_b3
SAMN11846342	SRX5976676	SRR9205809	am_0014_0091_b10
SAMN11846343	SRX5976675	SRR9205810	am_0014_0091_b1
SAMN11846289	SRX5976674	SRR9205811	am_0006_0094_c4
SAMN11846288	SRX5976673	SRR9205812	am_0006_0094_c3
SAMN11846529	SRX5976672	SRR9205813	am_0070_0075_d11
SAMN11846528	SRX5976671	SRR9205814	am_0070_0075_a11
SAMN11846521	SRX5976670	SRR9205815	af_0058_0056_f12
SAMN11846520	SRX5976669	SRR9205816	af_0058_0056_f10
SAMN11846523	SRX5976668	SRR9205817	af_0058_0056_g12
SAMN11846522	SRX5976667	SRR9205818	af_0058_0056_g11
SAMN11846525	SRX5976666	SRR9205819	af_0058_0056_h11
SAMN11846524	SRX5976665	SRR9205820	af_0058_0056_h10
SAMN11846527	SRX5976664	SRR9205821	af_0058_0067_c3
SAMN11846526	SRX5976663	SRR9205822	af_0058_0056_h7
SAMN11846727	SRX5976662	SRR9205823	am_0171_0071_g10
SAMN11846726	SRX5976661	SRR9205824	am_0171_0071_f8
SAMN11846725	SRX5976660	SRR9205825	am_0171_0071_e9
SAMN11846724	SRX5976659	SRR9205826	am_0171_0071_e7
SAMN11846723	SRX5976658	SRR9205827	am_0171_0071_d12
SAMN11846722	SRX5976657	SRR9205828	am_0171_0071_c7
SAMN11846721	SRX5976656	SRR9205829	am_0171_0071_b8
SAMN11846720	SRX5976655	SRR9205830	am_0171_0071_b7
SAMN11846899	SRX5976654	SRR9205831	af_0058_0061_e6
SAMN11846729	SRX5976653	SRR9205832	am_0171_0071_h10
SAMN11846728	SRX5976652	SRR9205833	am_0171_0071_g8
SAMN11847020	SRX5976651	SRR9205834	av_0103_0014_f4-BIS
SAMN11847021	SRX5976650	SRR9205835	av_0103_0014_f4
SAMN11846587	SRX5976649	SRR9205836	am_0171_0088_d5
SAMN11846588	SRX5976648	SRR9205837	am_0171_0088_e4
SAMN11846589	SRX5976647	SRR9205838	am_0171_0088_f5
SAMN11846681	SRX5976646	SRR9205839	am_0025_0085_a6
SAMN11846680	SRX5976645	SRR9205840	am_0025_0085_a4
SAMN11846687	SRX5976644	SRR9205841	am_0025_0085_g3
SAMN11846686	SRX5976643	SRR9205842	am_0025_0085_f5
SAMN11846685	SRX5976642	SRR9205843	am_0025_0085_e4
SAMN11846684	SRX5976641	SRR9205844	am_0025_0085_c5
SAMN11846099	SRX5976640	SRR9205845	aa_0143_0061_d1-BIS
SAMN11846098	SRX5976639	SRR9205846	aa_0143_0061_c4
SAMN11846845	SRX5976638	SRR9205847	af_0058_0044_g5
SAMN11846091	SRX5976637	SRR9205848	aa_0143_0061_c1
SAMN11846090	SRX5976636	SRR9205849	aa_0143_0061_c1-BIS
SAMN11846093	SRX5976635	SRR9205850	aa_0143_0061_c2
SAMN11846092	SRX5976634	SRR9205851	aa_0143_0061_c2-BIS
SAMN11846095	SRX5976633	SRR9205852	aa_0143_0061_c3-BIS
SAMN11846094	SRX5976632	SRR9205853	aa_0143_0061_c3-BISb
SAMN11846097	SRX5976631	SRR9205854	aa_0143_0061_c4-BIS
SAMN11846096	SRX5976630	SRR9205855	aa_0143_0061_c3
SAMN11846125	SRX5976629	SRR9205856	aa_0143_0061_h1-BIS
SAMN11846467	SRX5976628	SRR9205857	bq_0049_0072_c3
SAMN11846466	SRX5976627	SRR9205858	bq_0049_0072_b2
SAMN11846465	SRX5976626	SRR9205859	bq_0049_0072_a5
SAMN11846464	SRX5976625	SRR9205860	bq_0049_0072_a3
SAMN11846463	SRX5976624	SRR9205861	bq_0049_0064_c4
SAMN11846462	SRX5976623	SRR9205862	bq_0049_0037_g5
SAMN11846461	SRX5976622	SRR9205863	bq_0049_0037_f5
SAMN11846460	SRX5976621	SRR9205864	af_0058_0071_e1
SAMN11846997	SRX5976620	SRR9205865	af_0058_0083_b6
SAMN11846469	SRX5976619	SRR9205866	bq_0049_0072_c6
SAMN11846468	SRX5976618	SRR9205867	bq_0049_0072_c4
SAMN11846310	SRX5977288	SRR9205868	am_0006_0094_e7
SAMN11846198	SRX5977287	SRR9205869	am_0001_0092_g9
SAMN11846312	SRX5977286	SRR9205870	am_0006_0094_f10
SAMN11846313	SRX5977285	SRR9205871	am_0006_0094_f11
SAMN11846847	SRX5977284	SRR9205872	am_0171_0008_d1
SAMN11846846	SRX5977283	SRR9205873	am_0070_0079_e7
SAMN11847008	SRX5977282	SRR9205874	af_0058_0083_f2
SAMN11846843	SRX5977281	SRR9205875	af_0058_0044_g10
SAMN11846309	SRX5977280	SRR9205876	am_0006_0094_e6
SAMN11846555	SRX5977279	SRR9205877	am_0171_0057_e8
SAMN11846554	SRX5977278	SRR9205878	am_0171_0057_e7
SAMN11846557	SRX5977277	SRR9205879	am_0171_0057_f10
SAMN11846556	SRX5977276	SRR9205880	am_0171_0057_e9
SAMN11846551	SRX5977275	SRR9205881	am_0171_0057_e10
SAMN11846550	SRX5977274	SRR9205882	am_0171_0057_d9
SAMN11846553	SRX5977273	SRR9205883	am_0171_0057_e12
SAMN11846552	SRX5977272	SRR9205884	am_0171_0057_e11
SAMN11846674	SRX5977271	SRR9205885	am_0014_0091_d6
SAMN11846675	SRX5977270	SRR9205886	am_0014_0091_e5
SAMN11846676	SRX5977269	SRR9205887	am_0014_0091_f10
SAMN11846677	SRX5977268	SRR9205888	am_0014_0091_g9
SAMN11846559	SRX5977267	SRR9205889	am_0171_0057_f12
SAMN11846558	SRX5977266	SRR9205890	am_0171_0057_f11
SAMN11846672	SRX5977265	SRR9205891	am_0014_0091_a6
SAMN11846673	SRX5977264	SRR9205892	am_0014_0091_d12
SAMN11846986	SRX5977263	SRR9205893	af_0058_0077_g4
SAMN11846088	SRX5977262	SRR9205894	aa_0143_0061_b3
SAMN11846089	SRX5977261	SRR9205895	aa_0143_0061_b4-BIS
SAMN11846987	SRX5977260	SRR9205896	af_0058_0077_g5
SAMN11846084	SRX5977259	SRR9205897	aa_0143_0061_b1-BIS
SAMN11846085	SRX5977258	SRR9205898	aa_0143_0061_b1
SAMN11846086	SRX5977257	SRR9205899	aa_0143_0061_b2
SAMN11846087	SRX5977256	SRR9205900	aa_0143_0061_b3-BIS
SAMN11846080	SRX5977255	SRR9205901	aa_0143_0061_a3-BIS
SAMN11846081	SRX5977254	SRR9205902	aa_0143_0061_a3
SAMN11846082	SRX5977253	SRR9205903	aa_0143_0061_a4-BIS
SAMN11846083	SRX5977252	SRR9205904	aa_0143_0061_a4
SAMN11846531	SRX5977251	SRR9205905	am_0171_0057_a11
SAMN11846981	SRX5977250	SRR9205906	af_0058_0077_f3
SAMN11846258	SRX5977249	SRR9205907	am_0003_0093_g7
SAMN11846259	SRX5977248	SRR9205908	am_0003_0093_g8
SAMN11846371	SRX5977247	SRR9205909	am_0014_0091_e12
SAMN11846370	SRX5977246	SRR9205910	am_0014_0091_e11
SAMN11846373	SRX5977245	SRR9205911	am_0014_0091_e2
SAMN11846372	SRX5977244	SRR9205912	am_0014_0091_e1
SAMN11846375	SRX5977243	SRR9205913	am_0014_0091_e7
SAMN11846374	SRX5977242	SRR9205914	am_0014_0091_e6
SAMN11846377	SRX5977241	SRR9205915	am_0014_0091_f11
SAMN11846376	SRX5977240	SRR9205916	am_0014_0091_e8
SAMN11846379	SRX5977239	SRR9205917	am_0014_0091_f1
SAMN11846378	SRX5977238	SRR9205918	am_0014_0091_f12
SAMN11846452	SRX5977237	SRR9205919	aa_0143_0037_g1
SAMN11846453	SRX5977236	SRR9205920	af_0058_0006_a2
SAMN11846454	SRX5977235	SRR9205921	bk_0021_0020_c4
SAMN11846455	SRX5977234	SRR9205922	bq_0049_0037_h5
SAMN11846456	SRX5977233	SRR9205923	aa_0143_0002_h6
SAMN11846457	SRX5977232	SRR9205924	aa_0143_0005_c12
SAMN11846998	SRX5977231	SRR9205925	af_0058_0083_c4
SAMN11846988	SRX5977230	SRR9205926	af_0058_0077_g6
SAMN11846979	SRX5977229	SRR9205927	af_0058_0077_e4
SAMN11846989	SRX5977228	SRR9205928	af_0058_0077_h3
SAMN11846219	SRX5977227	SRR9205929	am_0003_0093_b5
SAMN11846218	SRX5977226	SRR9205930	am_0003_0093_b2
SAMN11846811	SRX5977225	SRR9205931	am_0171_0057_b3
SAMN11846810	SRX5977224	SRR9205932	am_0171_0057_b2
SAMN11846813	SRX5977223	SRR9205933	am_0171_0057_b5
SAMN11846812	SRX5977222	SRR9205934	am_0171_0057_b4
SAMN11846815	SRX5977221	SRR9205935	am_0171_0057_c1
SAMN11846814	SRX5977220	SRR9205936	am_0171_0057_b6
SAMN11846817	SRX5977219	SRR9205937	am_0171_0057_c6
SAMN11846816	SRX5977218	SRR9205938	am_0171_0057_c2
SAMN11846819	SRX5977217	SRR9205939	am_0171_0057_d5
SAMN11846818	SRX5977216	SRR9205940	am_0171_0057_d2
SAMN11846892	SRX5977215	SRR9205941	af_0058_0056_h4
SAMN11846893	SRX5977214	SRR9205942	af_0058_0056_h5
SAMN11846894	SRX5977213	SRR9205943	af_0058_0056_h6
SAMN11846895	SRX5977212	SRR9205944	af_0058_0061_a5-BISb
SAMN11846896	SRX5977211	SRR9205945	af_0058_0061_a5-BISc
SAMN11846897	SRX5977210	SRR9205946	af_0058_0061_a5-BIS
SAMN11846689	SRX5977209	SRR9205947	am_0025_0085_h5
