sample_accession	experiment_accession	run_accession	sample_alias
SAMN11846275	SRX5976953	SRR9205532	am_0006_0094_b1
SAMN11846276	SRX5976952	SRR9205533	am_0006_0094_b2
SAMN11846277	SRX5976951	SRR9205534	am_0006_0094_b3
SAMN11846353	SRX5976950	SRR9205535	am_0014_0091_c3
SAMN11846352	SRX5976949	SRR9205536	am_0014_0091_c2
SAMN11846351	SRX5976948	SRR9205537	am_0014_0091_c1
SAMN11846350	SRX5976947	SRR9205538	am_0014_0091_c12
SAMN11846357	SRX5976946	SRR9205539	am_0014_0091_c8
SAMN11846356	SRX5976945	SRR9205540	am_0014_0091_c6
SAMN11846355	SRX5976944	SRR9205541	am_0014_0091_c5
SAMN11846354	SRX5976943	SRR9205542	am_0014_0091_c4
SAMN11846512	SRX5976942	SRR9205543	af_0058_0056_b7
SAMN11846513	SRX5976941	SRR9205544	af_0058_0056_b8
SAMN11846359	SRX5976940	SRR9205545	am_0014_0091_d10
SAMN11846358	SRX5976939	SRR9205546	am_0014_0091_c9
SAMN11846516	SRX5976938	SRR9205547	af_0058_0056_d9
SAMN11846517	SRX5976937	SRR9205548	af_0058_0056_e10
SAMN11846514	SRX5976936	SRR9205549	af_0058_0056_b9
SAMN11846515	SRX5976935	SRR9205550	af_0058_0056_d8
SAMN11846129	SRX5976934	SRR9205551	aa_0143_0065_a7
SAMN11846128	SRX5976933	SRR9205552	aa_0143_0065_a5
SAMN11846718	SRX5976932	SRR9205553	am_0171_0071_a8
SAMN11846719	SRX5976931	SRR9205554	am_0171_0071_b11
SAMN11846710	SRX5976930	SRR9205555	am_0171_0066_a9
SAMN11846711	SRX5976929	SRR9205556	am_0171_0066_b9
SAMN11846712	SRX5976928	SRR9205557	am_0171_0066_c11
SAMN11846713	SRX5976927	SRR9205558	am_0171_0066_c12
SAMN11846714	SRX5976926	SRR9205559	am_0171_0066_c9
SAMN11846715	SRX5976925	SRR9205560	am_0171_0066_e9
SAMN11846716	SRX5976924	SRR9205561	am_0171_0066_g12
SAMN11846717	SRX5976923	SRR9205562	am_0171_0066_g8
SAMN11847000	SRX5976922	SRR9205563	af_0058_0083_d2
SAMN11846678	SRX5976921	SRR9205564	am_0014_0091_h5
SAMN11847001	SRX5976920	SRR9205565	af_0058_0083_d3
SAMN11846679	SRX5976919	SRR9205566	am_0025_0083_e9
SAMN11846964	SRX5976918	SRR9205567	af_0058_0077_a5
SAMN11846426	SRX5976917	SRR9205568	aa_0143_0055_h1
SAMN11846427	SRX5976916	SRR9205569	aa_0143_0055_h2
SAMN11846424	SRX5976915	SRR9205570	aa_0143_0055_g2
SAMN11846425	SRX5976914	SRR9205571	aa_0143_0055_g3
SAMN11846422	SRX5976913	SRR9205572	aa_0143_0055_e4
SAMN11846423	SRX5976912	SRR9205573	aa_0143_0055_f3
SAMN11846420	SRX5976911	SRR9205574	aa_0143_0055_e1
SAMN11846421	SRX5976910	SRR9205575	aa_0143_0055_e3
SAMN11846428	SRX5976909	SRR9205576	aa_0143_0065_a9
SAMN11846429	SRX5976908	SRR9205577	aa_0143_0065_b7
SAMN11846066	SRX5976907	SRR9205578	am_0224_0086_f3
SAMN11846067	SRX5976906	SRR9205579	am_0224_0086_f5
SAMN11846064	SRX5976905	SRR9205580	am_0224_0086_e5
SAMN11846065	SRX5976904	SRR9205581	am_0224_0086_e6
SAMN11846062	SRX5976903	SRR9205582	am_0224_0086_e2
SAMN11846063	SRX5976902	SRR9205583	am_0224_0086_e3
SAMN11846060	SRX5976901	SRR9205584	am_0224_0086_d5
SAMN11846061	SRX5976900	SRR9205585	am_0224_0086_d6
SAMN11846670	SRX5976899	SRR9205586	am_0006_0094_h3
SAMN11846068	SRX5976898	SRR9205587	am_0224_0086_f6
SAMN11846069	SRX5976897	SRR9205588	am_0224_0086_g1
SAMN11846624	SRX5976896	SRR9205589	af_0058_0037_c2
SAMN11846625	SRX5976895	SRR9205590	af_0058_0037_d2
SAMN11846626	SRX5976894	SRR9205591	af_0058_0037_e2
SAMN11846627	SRX5976893	SRR9205592	af_0058_0037_f2
SAMN11846620	SRX5976892	SRR9205593	af_0058_0006_c3
SAMN11846621	SRX5976891	SRR9205594	af_0058_0006_f1
SAMN11846622	SRX5976890	SRR9205595	af_0058_0037_a2
SAMN11846623	SRX5976889	SRR9205596	af_0058_0037_b2
SAMN11846647	SRX5976888	SRR9205597	af_0058_0083_d6-BIS
SAMN11846646	SRX5976887	SRR9205598	af_0058_0083_c6
SAMN11846645	SRX5976886	SRR9205599	af_0058_0083_c6-BIS
SAMN11846644	SRX5976885	SRR9205600	af_0058_0083_c3
SAMN11846628	SRX5976884	SRR9205601	af_0058_0037_g2
SAMN11846629	SRX5976883	SRR9205602	af_0058_0037_h2
SAMN11846641	SRX5976882	SRR9205603	af_0058_0083_c2-BIS
SAMN11846640	SRX5976881	SRR9205604	af_0058_0077_e5
SAMN11846786	SRX5976880	SRR9205605	cx_0004_0086_b12
SAMN11846787	SRX5976879	SRR9205606	cx_0004_0086_b7
SAMN11846784	SRX5976878	SRR9205607	cx_0004_0086_a9
SAMN11846785	SRX5976877	SRR9205608	cx_0004_0086_b11
SAMN11846782	SRX5976876	SRR9205609	cx_0004_0086_a11
SAMN11846783	SRX5976875	SRR9205610	cx_0004_0086_a7
SAMN11846780	SRX5976874	SRR9205611	bq_0049_0037_a5
SAMN11846781	SRX5976873	SRR9205612	cx_0004_0072_c12
SAMN11846788	SRX5976872	SRR9205613	cx_0004_0086_b9
SAMN11846789	SRX5976871	SRR9205614	cx_0004_0086_c9
SAMN11846820	SRX5976870	SRR9205615	am_0171_0057_d6
SAMN11846179	SRX5976869	SRR9205616	am_0001_0092_e3
SAMN11846178	SRX5976868	SRR9205617	am_0001_0092_e2
SAMN11846173	SRX5976867	SRR9205618	am_0001_0092_d2
SAMN11846172	SRX5976866	SRR9205619	am_0001_0092_d1
SAMN11846171	SRX5976865	SRR9205620	am_0001_0092_d12
SAMN11846170	SRX5976864	SRR9205621	am_0001_0092_d10
SAMN11846177	SRX5976863	SRR9205622	am_0001_0092_e12
SAMN11846176	SRX5976862	SRR9205623	am_0001_0092_d8
SAMN11846175	SRX5976861	SRR9205624	am_0001_0092_d7
SAMN11846174	SRX5976860	SRR9205625	am_0001_0092_d3
SAMN11846705	SRX5976859	SRR9205626	am_0111_0084_f6
SAMN11847012	SRX5976858	SRR9205627	af_0058_0083_g1
SAMN11846518	SRX5976857	SRR9205628	af_0058_0056_e11
SAMN11846519	SRX5976856	SRR9205629	af_0058_0056_e12
SAMN11846808	SRX5976855	SRR9205630	am_0171_0057_a5
SAMN11846938	SRX5976854	SRR9205631	af_0058_0071_c2
SAMN11846539	SRX5976853	SRR9205632	am_0171_0057_b7
SAMN11846538	SRX5976852	SRR9205633	am_0171_0057_b12
SAMN11846301	SRX5976851	SRR9205634	am_0006_0094_d4
SAMN11846973	SRX5976850	SRR9205635	af_0058_0077_c6
SAMN11846533	SRX5976849	SRR9205636	am_0171_0057_a7
SAMN11846532	SRX5976848	SRR9205637	am_0171_0057_a12
SAMN11846300	SRX5976847	SRR9205638	am_0006_0094_d3
