run_accession	sample_alias
SRR9224343	am-0138_MG
SRR9224344	am-0025_MG
SRR9224345	am-0141_MG
SRR9224346	am-0142_MG
SRR9224347c	am-0139_MG
SRR9224348	am-0140_MG
SRR9224349	am-0147_MG
SRR9224350	am-0148_MG
SRR9224351	am-0143_MG
SRR9224352	am-0146_MG
SRR9224354	am-0149_MG
SRR9224355	am-0150_MG
SRR9224357	am-0001_MG
SRR9224359c	am-0003_MG
SRR9224360	am-0002_MG
SRR9224361	am-0116_MG
SRR9224362	am-0004_MG
SRR9224363c	am-0007_MG
SRR9224364	am-0006_MG
SRR9224365	am-0009_MG
SRR9224366	am-0008_MG
SRR9224367	am-0114_MG
SRR9224368	am-0115_MG
SRR9224369	am-0108_MG
SRR9224370	am-0109_MG
SRR9224371	am-0110_MG
SRR9224372	am-0111_MG
SRR9224389	am-0192_MG
SRR9224421	am-0083_MG
SRR9224422	am-0068_MG
SRR9224423	am-0069_MG
SRR9224424	am-0070_MG
SRR9224425	am-0071_MG
SRR9224426	am-0072_MG
SRR9224427	am-0073_MG
SRR9224428	am-0074_MG
SRR9224429	am-0075_MG
SRR9224430	am-0076_MG
SRR9224431	am-0077_MG
SRR9224436	am-0204_MG
SRR9224440	am-0200_MG
SRR9224441	am-0199_MG
SRR9224444	am-0196_MG
SRR9224445	am-0195_MG
SRR9224446	am-0198_MG
SRR9224447	am-0197_MG
SRR9224474	am-0094_MG
SRR9224475	am-0095_MG
SRR9224476	am-0092_MG
SRR9224477	am-0093_MG
SRR9224478	am-0090_MG
SRR9224490	am-0089_MG
SRR9224491	am-0052_MG
SRR9224493	am-0209_MG
SRR9224494	am-0210_MG
SRR9224495	am-0211_MG
SRR9224496	am-0212_MG
SRR9224497	am-0205_MG
SRR9224498	am-0206_MG
SRR9224499	am-0207_MG
SRR9224500	am-0208_MG
SRR9224501	am-0213_MG
SRR9224502	am-0214_MG
SRR9224503	am-0119_MG
SRR9224504	am-0118_MG
SRR9224505	am-0121_MG
SRR9224506	am-0120_MG
SRR9224507	am-0123_MG
SRR9224508	am-0122_MG
SRR9224509	am-0125_MG
SRR9224510	am-0124_MG
SRR9224511	am-0127_MG
SRR9224512	am-0126_MG
SRR9224513c	am-0152_MG
SRR9224514	am-0151_MG
SRR9224515	am-0155_MG
SRR9224516	am-0153_MG
SRR9224517	am-0157_MG
SRR9224518	am-0156_MG
SRR9224519	am-0159_MG
SRR9224520	am-0158_MG
SRR9224521	am-0161_MG
SRR9224522	am-0160_MG
SRR9224523c	am-0012_MG
SRR9224524	am-0013_MG
SRR9224525	am-0010_MG
SRR9224526	am-0011_MG
SRR9224527c	am-0016_MG
SRR9224528	am-0017_MG
SRR9224529c	am-0014_MG
SRR9224530	am-0015_MG
SRR9224531	am-0101_MG
SRR9224532	am-0100_MG
SRR9224533	am-0099_MG
SRR9224534	am-0098_MG
SRR9224535	am-0105_MG
SRR9224536	am-0104_MG
SRR9224537	am-0103_MG
SRR9224538	am-0102_MG
SRR9224539	am-0039_MG
SRR9224540	am-0051_MG
SRR9224541	am-0030_MG
SRR9224542	am-0031_MG
SRR9224005	an-0041_MG
SRR9224006	an-0042_MG
SRR9224133	an-0038_MG
SRR9224134c	an-0037_MG
SRR9224136	an-0028_MG
SRR9224137	an-0027_MG
SRR9224138	an-0026_MG
SRR9224139	an-0025_MG
SRR9224140	an-0036_MG
SRR9224141	an-0035_MG
SRR9224142	an-0034_MG
SRR9224143	an-0030_MG
SRR9224184	an-0005_MG
SRR9224187	an-0017_MG
SRR9224203	an-0001_MG
SRR9224233	an-0083_MG
SRR9224234	an-0082_MG
SRR9224235	an-0081_MG
SRR9224236	an-0080_MG
SRR9224237	an-0077_MG
SRR9224238	an-0076_MG
SRR9224239	an-0075_MG
SRR9224240	an-0074_MG
SRR9224241	an-0073_MG
SRR9224242	an-0072_MG
SRR9224273	an-0067_MG
SRR9224274	an-0069_MG
SRR9224275	an-0065_MG
SRR9224276	an-0066_MG
SRR9224277	an-0063_MG
SRR9224278	an-0064_MG
SRR9224279	an-0061_MG
SRR9224280	an-0062_MG
SRR9224282	an-0070_MG
SRR9224283	an-0071_MG
SRR9224313	an-0002_MG
SRR9224314	an-0003_MG
SRR9224317	an-0023_MG
SRR9224318	an-0019_MG
SRR9224321	an-0004_MG
SRR9224322	an-0009_MG
SRR9224323	an-0006_MG
SRR9224324	an-0015_MG
SRR9224325	an-0013_MG
SRR9224327	an-0016_MG
SRR9224448	an-0054_MG
SRR9224449	an-0053_MG
SRR9224450	an-0056_MG
SRR9224451	an-0055_MG
SRR9224452c	an-0050_MG
SRR9224453	an-0049_MG
SRR9224454	an-0052_MG
SRR9224455	an-0051_MG
SRR9224456	an-0060_MG
SRR9224457	an-0058_MG
SRR9224560	an-0047_MG
SRR9224561	an-0048_MG
SRR9224562	an-0043_MG
SRR9224563	an-0044_MG
SRR9224564	an-0045_MG
SRR9224565	an-0046_MG
SRR9224566	an-0039_MG
SRR9224018	ao-0028_MG
SRR9224019c	ao-0014_MG
SRR9224020	ao-0013_MG
SRR9224021	ao-0016_MG
SRR9224022	ao-0015_MG
SRR9224023	ao-0025_MG
SRR9224024	ao-0017_MG
SRR9224025	ao-0027_MG
SRR9224026	ao-0026_MG
SRR9224065	ao-0001_MG
SRR9224066	ao-0003_MG
SRR9224067	ao-0004_MG
SRR9224068	ao-0006_MG
SRR9224069	ao-0007_MG
SRR9224070	ao-0008_MG
SRR9224071	ao-0009_MG
SRR9224072	ao-0010_MG
SRR9224073	ao-0011_MG
SRR9224074	ao-0012_MG
SRR9224109	ao-0071_MG
SRR9224110	ao-0072_MG
SRR9224111	ao-0073_MG
SRR9224112	ao-0074_MG
SRR9224113	ao-0066_MG
SRR9224114	ao-0068_MG
SRR9224116	ao-0070_MG
SRR9224119	ao-0076_MG
SRR9224135	ao-0035_MG
SRR9224159	ao-0060_MG
SRR9224160	ao-0061_MG
SRR9224161	ao-0062_MG
SRR9224162	ao-0063_MG
SRR9224163	ao-0050_MG
SRR9224164	ao-0057_MG
SRR9224165	ao-0058_MG
SRR9224166	ao-0059_MG
SRR9224168	ao-0064_MG
SRR9224169	ao-0065_MG
SRR9224172	ao-0034_MG
SRR9224249	ao-0080_MG
SRR9224250	ao-0079_MG
SRR9224251	ao-0078_MG
SRR9224252	ao-0077_MG
SRR9224253	ao-0084_MG
SRR9224255	ao-0082_MG
SRR9224256	ao-0081_MG
SRR9224257	ao-0086_MG
SRR9224258	ao-0085_MG
SRR9224288	ao-0083_MG
SRR9224291	ao-0043_MG
SRR9224292	ao-0042_MG
SRR9224293	ao-0041_MG
SRR9224294	ao-0040_MG
SRR9224295	ao-0047_MG
SRR9224296	ao-0046_MG
SRR9224297	ao-0045_MG
SRR9224298	ao-0044_MG
SRR9224299	ao-0049_MG
SRR9224300	ao-0048_MG
SRR9224311	ao-0039_MG
SRR9224401	ao-0038_MG
SRR9224403c	ao-0032_MG
SRR9224404	ao-0033_MG
SRR9224405	ao-0030_MG
SRR9224406	ao-0031_MG
SRR9224408	ao-0037_MG
SRR9224462	ao-0036_MG
SRR9224470	ao-0089_MG
SRR9224471	ao-0090_MG
SRR9224472	ao-0087_MG
SRR9224473	ao-0088_MG
SRR9224487	ao-0069_MG
SRR9224004	an-0040_MG
SRR9224017	ao-0029_MG
SRR9224037	am-0091_MG
SRR9224087	ae-0036_MG
