run_accession	sample_alias
SRR9224088	ae-0037_MG
SRR9224089	ae-0032_MG
SRR9224090	ae-0033_MG
SRR9224091	ae-0034_MG
SRR9224092	ae-0035_MG
SRR9224093c	ae-0028_MG
SRR9224094	ae-0029_MG
SRR9224095	ae-0030_MG
SRR9224096	ae-0031_MG
SRR9224174	ae-0050_MG
SRR9224175	ae-0048_MG
SRR9224176	ae-0052_MG
SRR9224177	ae-0051_MG
SRR9224178	ae-0045_MG
SRR9224179	ae-0039_MG
SRR9224180	ae-0047_MG
SRR9224181	ae-0046_MG
SRR9224182	ae-0054_MG
SRR9224183	ae-0053_MG
SRR9224301	ae-0065_MG
SRR9224302	ae-0067_MG
SRR9224303	ae-0063_MG
SRR9224304	ae-0064_MG
SRR9224305	ae-0061_MG
SRR9224306	ae-0062_MG
SRR9224307	ae-0056_MG
SRR9224308	ae-0060_MG
SRR9224309	ae-0068_MG
SRR9224310	ae-0069_MG
SRR9224391	ae-0012_MG
SRR9224392	ae-0014_MG
SRR9224393	ae-0005_MG
SRR9224394	ae-0007_MG
SRR9224395	ae-0003_MG
SRR9224396	ae-0004_MG
SRR9224397	ae-0010_MG
SRR9224398	ae-0011_MG
SRR9224399	ae-0008_MG
SRR9224400	ae-0009_MG
SRR9224402	ae-0002_MG
SRR9224414	ae-0076_MG
SRR9224415	ae-0075_MG
SRR9224416	ae-0074_MG
SRR9224417	ae-0073_MG
SRR9224418	ae-0072_MG
SRR9224419	ae-0071_MG
SRR9224420	ae-0070_MG
SRR9224432	ae-0001_MG
SRR9224479	ae-0020_MG
SRR9224480	ae-0019_MG
SRR9224481	ae-0018_MG
SRR9224482	ae-0016_MG
SRR9224483	ae-0025_MG
SRR9224484	ae-0024_MG
SRR9224485	ae-0022_MG
SRR9224486	ae-0021_MG
SRR9224488	ae-0027_MG
SRR9224489	ae-0026_MG
SRR9224053	am-0171_MG
SRR9224054	am-0172_MG
SRR9224061	am-0162_MG
SRR9224062	am-0163_MG
SRR9224063	am-0164_MG
SRR9224064	am-0165_MG
SRR9224077	am-0067_MG
SRR9224078	am-0066_MG
SRR9224081	am-0063_MG
SRR9224082	am-0062_MG
SRR9224083	am-0061_MG
SRR9224084	am-0060_MG
SRR9224085	am-0059_MG
SRR9224086	am-0058_MG
SRR9224097	am-0107_MG
SRR9224098	am-0106_MG
SRR9224099c	am-0218_MG
SRR9224100	am-0217_MG
SRR9224101	am-0216_MG
SRR9224102	am-0215_MG
SRR9224103	am-0222_MG
SRR9224104	am-0221_MG
SRR9224105	am-0220_MG
SRR9224106	am-0219_MG
SRR9224107	am-0224_MG
SRR9224108	am-0223_MG
SRR9224115	am-0088_MG
SRR9224117	am-0023_MG
SRR9224120	am-0096_MG
SRR9224121	am-0097_MG
SRR9224122	am-0022_MG
SRR9224146	am-0065_MG
SRR9224156	am-0024_MG
SRR9224171c	am-0027_MG
SRR9224173	am-0026_MG
SRR9224198	am-0227_MG
SRR9224199	am-0228_MG
SRR9224202	am-0231_MG
SRR9224204	am-0229_MG
SRR9224205	am-0230_MG
SRR9224207	am-0180_MG
SRR9224208	am-0179_MG
SRR9224209	am-0178_MG
SRR9224210	am-0177_MG
SRR9224211	am-0176_MG
SRR9224212	am-0175_MG
SRR9224213	am-0174_MG
SRR9224214	am-0173_MG
SRR9224216	am-0182_MG
SRR9224217	am-0181_MG
SRR9224218	am-0203_MG
SRR9224219	am-0202_MG
SRR9224220	am-0201_MG
SRR9224223	am-0056_MG
SRR9224224	am-0057_MG
SRR9224229c	am-0054_MG
SRR9224230	am-0055_MG
SRR9224243c	am-0018_MG
SRR9224244	am-0019_MG
SRR9224245	am-0005_MG
SRR9224246	am-0117_MG
SRR9224247	am-0112_MG
SRR9224248	am-0113_MG
SRR9224254c	am-0078_MG
SRR9224259	am-0087_MG
SRR9224260	am-0086_MG
SRR9224261	am-0225_MG
SRR9224264	am-0194_MG
SRR9224265	am-0189_MG
SRR9224266	am-0190_MG
SRR9224267	am-0187_MG
SRR9224268	am-0188_MG
SRR9224269	am-0185_MG
SRR9224270	am-0186_MG
SRR9224271	am-0183_MG
SRR9224272	am-0184_MG
SRR9224281	am-0082_MG
SRR9224284	am-0085_MG
SRR9224285c	am-0084_MG
SRR9224286	am-0079_MG
SRR9224287	am-0064_MG
SRR9224289	am-0081_MG
SRR9224290	am-0080_MG
SRR9224312	am-0053_MG
SRR9224315	am-0029_MG
SRR9224316	am-0028_MG
SRR9224319	am-0226_MG
SRR9224328	am-0021_MG
SRR9224329	am-0020_MG
SRR9224330	am-0130_MG
SRR9224331	am-0131_MG
SRR9224332	am-0128_MG
SRR9224333	am-0129_MG
SRR9224334	am-0135_MG
SRR9224335	am-0136_MG
SRR9224336	am-0166_MG
SRR9224337	am-0167_MG
SRR9224338	am-0168_MG
SRR9224339	am-0169_MG
SRR9224340	am-0132_MG
SRR9224341	am-0134_MG
SRR9224342	am-0137_MG
